157,2230,9,NaN,B+,Y
158,2230,8,NaN,B,Y
159,2230,7,NaN,C+,Y
160,2230,6,NaN,C,Y
161,2230,5,NaN,C-,Y
162,2230,4,NaN,D,Y
163,2230,3,NaN,D-,Y
164,2230,2,NaN,F,Y
165,2230,1,NaN,F,Y
167,2231,HD,7.00,A+,Y
168,2231,D,6.00 - 6.99,A,Y
169,2231,C,5.00 - 5.99,B,Y
170,2231,P,4.00 - 4.99,C,Y
171,2231,N,0.00 - 3.99,F,Y
173,2232,HD,7.00,A+,Y
174,2232,D,6.00 - 6.99,A,Y
175,2232,Cr,5.00 - 5.99,B,Y
176,2232,P,4.00 - 4.99,C,Y
177,2232,PC,NaN,D,Y
178,2232,N,1.00 - 3.99,F,Y
180,2233,A,5.00,A,Y
181,2233,B,4.00 - 4.99,B,Y
182,2233,C,3.00 - 3.99,C,Y
183,2233,D,2.00 - 2.99,D,Y
184,2233,E,1.00 - 1.99,F,Y
185,2233,S,NaN,P,Y
187,2234,HD,85.00 - 100.00,A+,Y
188,2234,D,75.00 - 84.99,A,Y
189,2234,CR,65.00 - 74.99,B,Y
190,2234,P,50.00 - 64.99,C,Y
191,2234,PC,NaN,C-,Y
192,2234,F,0.00 - 49.99,F,Y
194,2235,NaN,5.00,A,Y
195,2235,NaN,4.00 - 4.99,B,Y
196,2235,NaN,3.00 - 3.99,C,Y
197,2235,NaN,2.00 - 2.99,D,Y
198,2235,NaN,1.00 - 1.99,F,Y
200,2236,NaN,7.00,A+,Y
201,2236,NaN,6.00 - 6.99,A,Y
202,2236,NaN,5.00 - 5.99,B,Y
203,2236,NaN,4.00 - 4.99,C,Y
204,2236,NaN,1.00 - 3.99,F,Y
206,2237,HD,7.00,A+,Y
207,2237,D,6.00 - 6.99,A,Y
208,2237,C,5.00 - 5.99,B,Y
209,2237,P1,4.50 - 4.99,B-,Y
210,2237,P2,4.00 - 4.49,C,Y
211,2237,F1,1.50 - 3.99,C-,Y
212,2237,F2,1.00 - 1.49,F,Y
213,2237,NGP,NaN,P,Y
215,2238,4,NaN,A,Y
216,2238,3,NaN,B,Y
217,2238,2,NaN,C,Y
219,2239,NaN,4.00,A+,Y
220,2239,NaN,3.50 - 3.99,A,Y
221,2239,NaN,3.00 - 3.49,B,Y
222,2239,NaN,2.50 - 2.99,C,Y
223,2239,NaN,2.00 - 2.49,D,Y
225,2240,A,NaN,A+,Y
